ticker,date,price
ABT,2026-01-20,120.3847
ACA,2024-02-13,79.5032
ACA,2024-04-16,78.6853
ACA,2024-07-19,88.1063
ACA,2024-11-15,101.0718
ACA,2025-09-17,93.4671
ACA,2026-03-13,105.6337
ADUS,2026-05-18,92.64
AEVA,2024-04-16,0.6360
AGYS,2024-07-19,107.91
AGYS,2024-12-16,139.22
AGYS,2025-03-14,74.35
AI,2024-09-23,23.3
AKAM,2026-03-13,107.67
ALB,2023-09-13,176.2829
ALC,2025-04-21,90.6165
ALMS,2026-05-18,21.15
ALPN,2023-11-28,15.07
AMPX,2025-04-21,2.07
AMPX,2025-10-22,11.39
AMPX,2026-01-20,11.17
AMSC,2025-05-15,23.52
APP,2024-09-23,126.12
APP,2025-04-21,228.13
APP,2025-09-17,606.66
ARMK,2025-05-15,37.9013
ASND,2023-02-21,112.315
ASPN,2024-01-16,12.32
ASPN,2024-05-14,25.41
AVDL,2023-03-13,9.22
AVDL,2024-09-23,12.87
AVGO,2024-12-16,246.192
AXP,2023-08-23,153.9828
AZO,2025-12-11,3469.1
AZO,2026-04-14,3508.5
BBIO,2025-11-17,66.9
BCYC,2025-05-15,8.12
BKSY,2024-12-16,12.14
BKSY,2025-10-22,21.72
BKSY,2026-01-20,27.37
BLDR,2024-08-15,164.65
BPMC,2025-06-16,128.25
BSY,2024-01-16,47.9511
BZH,2025-02-14,25.1
C,2025-02-14,82.078
CAPR,2025-04-21,11.92
CAPR,2025-08-12,8.04
CAPR,2026-04-14,34.72
CARG,2023-04-14,17.17
CARG,2023-07-14,23.37
CARR,2023-07-14,51.8746
CARR,2024-09-23,78.9754
CARR,2025-08-12,64.9672
CART,2024-09-23,40.22
CART,2025-01-15,45.11
CART,2025-11-17,40.51
CART,2026-02-13,36.3
CAT,2025-10-22,511.736
CATX,2025-11-17,2.21
CBAY,2023-09-13,16.78
CBOE,2023-06-14,134.0544
CCAP,2025-05-15,13.5614
CCOI,2024-07-19,60.4347
CCOI,2025-09-17,37.5262
CCOI,2026-04-14,22.5126
CF,2025-02-14,80.2781
CHD,2024-03-18,101.479
